uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE,R2_flipped
349,unionunion,14.630278640265006,2.25830028068377,6.478446983071373,1.1834722921125847e-10,10.201206206918702,19.05935107361131,0.09472572023517781,0.645693276573162
350,unionunion,15.812672118070223,2.250523650219468,7.026219038634939,2.9666607844541258e-12,11.398853083493151,20.226491152647295,0.094427582260954,0.6514370811450788
351,unionunion,13.29551599624786,2.349809283476462,5.6581255720368935,1.7686162077290038e-8,8.6869739167087765,17.904058075786942,0.09764782405949252,0.7006199840798147
352,unionunion,17.067158933997796,2.441963989727936,6.989111635466534,3.840375283371073e-12,12.277880952729344,21.856436915266247,0.09930726498427209,0.7676960620695221
353,unionunion,11.577212187409353,2.1965983866486187,5.270518387784519,1.5189324150874016e-7,7.269149048768576,15.885275326050131,0.09160432069039366,0.5943096465313398
354,unionunion,12.808391749022936,2.1928680054954577,5.8409314728129305,6.114834523415632e-9,8.507646305461165,17.109137192584708,0.09129673807973042,0.600960457839086
355,unionunion,10.418961051395108,2.2951603994069756,4.539535038199144,5.999487827559224e-6,5.9175954401244315,14.920326662665785,0.09477016497472117,0.649874650107648
356,unionunion,14.331920470510543,2.4011792640906964,5.968700748354124,2.8574432406688553e-9,9.622627832559495,19.04121310846159,0.09694735638131269,0.7214919492701993
357,unionunion,11.240332908555152,2.1881085401455604,5.137008837691116,3.0844927461483496e-7,6.948921929660684,15.531743887449618,0.091486735756064,0.5948613169566536
358,unionunion,12.479778861147706,2.183704764135745,5.714957015302793,1.2755081003697062e-8,8.197006257288228,16.762551465007185,0.09117210661868792,0.6014334673464292
359,unionunion,10.088889814912656,2.2860922404341197,4.4131595551878595,1.0771929644220482e-5,5.605310634234384,14.572468995590928,0.09459962884312427,0.6503629803210169
360,unionunion,14.058003842787475,2.3903369583576803,5.88118080743154,4.8188181308538384e-9,9.369977229593111,18.74603045598184,0.09669436370190627,0.721651092719957
361,unionunion,11.717635062665858,2.252312152438418,5.202491604007911,2.1836124396989427e-7,7.3003052449098025,16.13496488042191,0.09354171873017218,0.6248661744425168
362,unionunion,12.805215315880869,2.2451935613107388,5.703390360876153,1.3635950993896757e-8,8.401848325678346,17.208582306083393,0.09320817083994287,0.6299825225252615
363,unionunion,10.545438915723004,2.3513249629742523,4.484892170065597,7.741046150734302e-6,5.933922606565454,15.156955224880555,0.09660589981394282,0.6820920476020805
364,unionunion,14.318331392442555,2.446114742280908,5.853499488372839,5.676771369336606e-9,9.520911107974015,19.115751676911096,0.09835374060517654,0.7487488463917927
365,unionunion,12.368767725776982,2.243569290014431,5.512986730932399,4.0215833448844735e-8,7.9685863239943355,16.76894912755963,0.09376500001392576,0.6270415392203911
366,unionunion,13.441321517224022,2.2363971773215927,6.010256878128391,2.2237167016954548e-9,9.055207899100584,17.82743513534746,0.09343997693476788,0.632088513275887
367,unionunion,11.231354601533585,2.342414385526505,4.794776992034699,1.7581093048891174e-6,6.637315698322859,15.825393504744312,0.09682708528266962,0.6845360068054858
368,unionunion,14.994428424721663,2.436170658034132,6.154917093050213,9.17738516792999e-10,10.216512558552385,19.772344290890942,0.0985848438959537,0.7510905294165692
369,unionunion,13.386229377092498,2.1940008686538555,6.101287181944332,1.2773352214973686e-9,9.083262114408713,17.689196639776284,0.09221045551633873,0.6049189394436217
370,unionunion,14.751570784877769,2.189398742379503,6.737726892473377,2.1389807705432656e-11,10.457630914073672,19.045510655681866,0.0919534417842496,0.61234453257237
371,unionunion,12.089667999326094,2.2869166377738246,5.286448924126354,1.3941089804367226e-7,7.6044719762984485,16.57486402235374,0.09526675515821362,0.6586263521177679
372,unionunion,16.159779207715623,2.391657442809602,6.7567281661925245,1.8821229172474655e-11,11.469162806403197,20.85039560902805,0.0974563160354313,0.7315423592776962
